,PC1,PC2,PC3,Anomaly_Label,Anomaly_Score
0,-17924882042360.293,663495893244.8815,-83503459052.82774,-1,-0.05552087275264633
1,-17923953226911.13,663908218413.5182,-83467721851.50922,-1,-0.03718801924329257
2,-17922764500541.426,664374707109.529,-83489820745.79106,-1,-0.03482247446531922
3,-17921023182726.676,665654864759.0114,-83537112929.89545,-1,-0.022514058243222668
4,-17918723751050.492,666994491802.3965,-83662496483.09381,-1,-0.02648567915155592
5,-17916804253688.555,672545982267.6705,-91876683152.9443,-1,-0.02522393333023626
6,-17909533500620.02,674590629923.5614,-84477785115.7086,1,0.007855635402825079
7,-17902297168182.65,679215626139.3824,-85665031097.92891,1,0.024808848381146886
8,-17891593004654.62,687809711075.6013,-86702525711.27275,1,0.015868121286952308
9,-17875016112826.895,702261477848.0648,-88292038947.04724,1,0.018880986483887918
10,-17852492825108.438,719220579558.2787,-92578016726.21571,1,0.01977843721824102
11,-17824841930024.934,732927972801.221,-97312193516.69931,1,0.030433141712643053
12,-17793734399214.12,743141389150.9966,-99819483640.52083,1,0.03209929431863806
13,-17760932398816.586,749715439259.0522,-100555847496.43094,1,0.03375353026282768
14,-17727080586966.957,751361138200.6539,-99878749032.54626,1,0.03963537501065778
15,-17692047402794.26,748395230901.2068,-97384540374.65686,1,0.03317648422558689
16,-17656638221569.758,743575619940.1025,-94207488870.44318,1,0.03343798074094234
17,-17624334192976.36,735491094073.1554,-91775879092.0539,1,0.036381412534693736
18,-17596722736709.83,722743619789.449,-89120998048.27956,1,0.036360411714401075
19,-17569366678913.648,713587778394.9233,-84432430791.497,1,0.035678781408207294
20,-17542613153221.986,708075215360.8982,-80098267621.91272,1,0.03579618957297881
21,-17517413197637.057,701755065107.0165,-78244661064.22556,1,0.03327830305683688
22,-17492212646220.662,696415719128.7114,-75754095565.54074,1,0.04729997286292753
23,-17469508302348.053,689496756500.4963,-73285340014.13126,1,0.053413087394969805
24,-17449797436072.658,682427336243.1024,-71679558926.6183,1,0.03952592434764318
